id,context,question,answer,answer_start
1,"Bank Indonesia memperkirakan pertumbuhan ekonomi Indonesia akan mencapai 5,1% pada tahun 2024.","Berapa perkiraan pertumbuhan ekonomi Indonesia tahun 2024?","5,1%",46
2,"Pada tahun 2023, inflasi di Indonesia mencapai angka 3,5% yang merupakan penurunan dari tahun sebelumnya.","Berapa angka inflasi Indonesia pada tahun 2023?","3,5%",35
3,"Pemerintah Indonesia berencana meningkatkan anggaran pendidikan menjadi 20% dari total APBN pada tahun 2024.","Berapa persen anggaran pendidikan dari total APBN pada tahun 2024?","20%",61
4,"Pendapatan per kapita Indonesia pada tahun 2023 diperkirakan mencapai $4.500.","Berapa pendapatan per kapita Indonesia pada tahun 2023?","$4.500",47
5,"Jumlah utang luar negeri Indonesia pada akhir tahun 2023 tercatat sebesar $415 miliar.","Berapa jumlah utang luar negeri Indonesia pada akhir tahun 2023?","$415 miliar",49
6,"Nilai tukar rupiah terhadap dolar AS pada awal tahun 2024 diprediksi berada pada kisaran Rp15.000 per dolar.","Berapa nilai tukar rupiah terhadap dolar AS pada awal tahun 2024?","Rp15.000 per dolar",63
7,"Pemerintah Indonesia menargetkan defisit anggaran sebesar 3% dari PDB pada tahun 2024.","Berapa target defisit anggaran Indonesia pada tahun 2024?","3% dari PDB",41
8,"Cadangan devisa Indonesia pada akhir tahun 2023 mencapai $130 miliar.","Berapa cadangan devisa Indonesia pada akhir tahun 2023?","$130 miliar",40
9,"Investasi asing di Indonesia pada tahun 2023 mencapai $28 miliar, meningkat 10% dibanding tahun sebelumnya.","Berapa investasi asing di Indonesia pada tahun 2023?","$28 miliar",39
10,"Pasar saham Indonesia menunjukkan kenaikan dengan IHSG mencapai 6.800 pada akhir tahun 2023.","Berapa nilai IHSG pada akhir tahun 2023?","6.800",57
11,"Bank Indonesia memutuskan untuk mempertahankan suku bunga acuan sebesar 4,25% pada bulan Mei 2024.","Berapa suku bunga acuan Bank Indonesia pada bulan Mei 2024?","4,25%",59
12,"Kredit perbankan di Indonesia tumbuh sebesar 8% pada tahun 2023, didorong oleh sektor konsumsi dan investasi.","Berapa pertumbuhan kredit perbankan di Indonesia pada tahun 2023?","8%",49
13,"Pemerintah akan menaikkan pajak penghasilan bagi golongan penghasilan tinggi menjadi 35% mulai tahun 2024.","Berapa pajak penghasilan bagi golongan penghasilan tinggi mulai tahun 2024?","35%",74
14,"Pada tahun 2023, nilai ekspor Indonesia mencapai $220 miliar, naik 5% dibandingkan tahun sebelumnya.","Berapa nilai ekspor Indonesia pada tahun 2023?","$220 miliar",42
15,"Impor barang modal Indonesia pada tahun 2023 mencapai $50 miliar, turun 3% dibandingkan tahun sebelumnya.","Berapa nilai impor barang modal Indonesia pada tahun 2023?","$50 miliar",36
16,"Rasio utang terhadap PDB Indonesia diperkirakan mencapai 40% pada akhir tahun 2023.","Berapa rasio utang terhadap PDB Indonesia pada akhir tahun 2023?","40%",40
17,"Surplus neraca perdagangan Indonesia pada tahun 2023 mencapai $30 miliar, terutama didorong oleh ekspor komoditas.","Berapa surplus neraca perdagangan Indonesia pada tahun 2023?","$30 miliar",41
18,"Cadangan emas Indonesia mencapai 78 ton pada akhir tahun 2023, meningkat dari 75 ton pada tahun sebelumnya.","Berapa cadangan emas Indonesia pada akhir tahun 2023?","78 ton",30
19,"Sektor jasa berkontribusi sebesar 54% terhadap PDB Indonesia pada tahun 2023.","Berapa kontribusi sektor jasa terhadap PDB Indonesia pada tahun 2023?","54%",29
20,"Pemerintah merencanakan pengeluaran untuk infrastruktur sebesar Rp400 triliun pada tahun 2024.","Berapa pengeluaran untuk infrastruktur pada tahun 2024?","Rp400 triliun",47
21,"Pendapatan negara dari sektor pajak diperkirakan mencapai Rp1.300 triliun pada tahun 2023.","Berapa pendapatan negara dari sektor pajak pada tahun 2023?","Rp1.300 triliun",44
22,"Subsidi energi di Indonesia pada tahun 2023 mencapai Rp200 triliun, meningkat dari Rp150 triliun tahun sebelumnya.","Berapa subsidi energi di Indonesia pada tahun 2023?","Rp200 triliun",36
23,"Jumlah tenaga kerja di sektor pertanian Indonesia mencapai 35 juta orang pada tahun 2023.","Berapa jumlah tenaga kerja di sektor pertanian Indonesia pada tahun 2023?","35 juta orang",41
24,"Pada tahun 2023, sektor manufaktur Indonesia tumbuh sebesar 4,5%, dipicu oleh permintaan domestik dan ekspor.","Berapa pertumbuhan sektor manufaktur Indonesia pada tahun 2023?","4,5%",47
25,"Pendapatan bersih PT Pertamina pada tahun 2023 mencapai Rp45 triliun, naik 20% dari tahun sebelumnya.","Berapa pendapatan bersih PT Pertamina pada tahun 2023?","Rp45 triliun",40
26,"Investasi dalam negeri di sektor properti mencapai Rp150 triliun pada tahun 2023, meningkat 8% dari tahun sebelumnya.","Berapa investasi dalam negeri di sektor properti pada tahun 2023?","Rp150 triliun",52
27,"Nilai transaksi e-commerce di Indonesia pada tahun 2023 mencapai Rp400 triliun, meningkat 30% dari tahun sebelumnya.","Berapa nilai transaksi e-commerce di Indonesia pada tahun 2023?","Rp400 triliun",42
28,"Pemerintah Indonesia akan mengeluarkan obligasi senilai Rp100 triliun pada tahun 2024 untuk membiayai proyek infrastruktur.","Berapa nilai obligasi yang akan dikeluarkan pemerintah Indonesia pada tahun 2024?","Rp100 triliun",63
29,"Pada tahun 2023, jumlah perusahaan fintech di Indonesia mencapai 400 perusahaan, naik dari 350 perusahaan tahun sebelumnya.","Berapa jumlah perusahaan fintech di Indonesia pada tahun 2023?","400 perusahaan",49
30,"Sektor pariwisata Indonesia menyumbang devisa sebesar $20 miliar pada tahun 2023, meningkat dari $18 miliar tahun sebelumnya.","Berapa devisa yang disumbangkan sektor pariwisata Indonesia pada tahun 2023?","$20 miliar",47
31,"Pendapatan PT Telkom Indonesia pada tahun 2023 mencapai Rp140 triliun, naik 10% dari tahun sebelumnya.","Berapa pendapatan PT Telkom Indonesia pada tahun 2023?","Rp140 triliun",43
32,"Pada tahun 2023, jumlah pengguna layanan perbankan digital di Indonesia mencapai 70 juta orang.","Berapa jumlah pengguna layanan perbankan digital di Indonesia pada tahun 2023?","70 juta orang",46
33,"Investasi asing di sektor teknologi di Indonesia pada tahun 2023 mencapai $10 miliar, meningkat 15% dari tahun sebelumnya.","Berapa investasi asing di sektor teknologi di Indonesia pada tahun 2023?","$10 miliar",49
34,"Pemerintah merencanakan untuk mengalokasikan Rp50 triliun untuk program bantuan sosial pada tahun 2024.","Berapa alokasi dana untuk program bantuan sosial pada tahun 2024?","Rp50 triliun",39
35,"Jumlah kredit macet perbankan di Indonesia pada tahun 2023 mencapai Rp100 triliun, turun dari Rp120 triliun tahun sebelumnya.","Berapa jumlah kredit macet perbankan di Indonesia pada tahun 2023?","Rp100 triliun",44
36,"Indeks keyakinan konsumen di Indonesia pada tahun 2023 mencapai 120, menunjukkan optimisme terhadap perekonomian.","Berapa indeks keyakinan konsumen di Indonesia pada tahun 2023?","120",49
37,"Pemerintah Indonesia akan mengurangi subsidi bahan bakar minyak menjadi Rp50 triliun pada tahun 2024.","Berapa subsidi bahan bakar minyak pada tahun 2024?","Rp50 triliun",58
38,"Jumlah perusahaan yang terdaftar di Bursa Efek Indonesia pada tahun 2023 mencapai 800 perusahaan.","Berapa jumlah perusahaan yang terdaftar di Bursa Efek Indonesia pada tahun 2023?","800 perusahaan",60
39,"Pemerintah menargetkan pengurangan kemiskinan hingga 9% pada akhir tahun 2024.","Berapa target pengurangan kemiskinan pada akhir tahun 2024?","9%",40
